	Classifiers_combination	f1_score
331	['DT', 'ETC', 'KNN', 'SVC_LIN']	0.8348397895743663
332	['DT', 'ETC', 'KNN', 'SVC_RBF']	0.7969615396515981
333	['DT', 'ETC', 'KNN', 'CAT']	0.8398375499183794
334	['DT', 'ETC', 'KNN', 'LGBM']	0.8249386200914449
335	['DT', 'ETC', 'KNN', 'LGBM_RF']	0.833068701392258
336	['DT', 'ETC', 'KNN', 'XGB']	0.834538425084204
337	['DT', 'ETC', 'KNN', 'XGB_RF']	0.8326978801281074
338	['DT', 'ETC', 'KNN', 'LR']	0.8299874688992608
339	['DT', 'ETC', 'SVC_LIN', 'SVC_RBF']	0.8320829103961634
340	['DT', 'ETC', 'SVC_LIN', 'CAT']	0.8468253968253968
341	['DT', 'ETC', 'SVC_LIN', 'LGBM']	0.8564715396922272
342	['DT', 'ETC', 'SVC_LIN', 'LGBM_RF']	0.8411447989761243
343	['DT', 'ETC', 'SVC_LIN', 'XGB']	0.8534798534798534
344	['DT', 'ETC', 'SVC_LIN', 'XGB_RF']	0.8437441643323996
345	['DT', 'ETC', 'SVC_LIN', 'LR']	0.846482933497659
346	['DT', 'ETC', 'SVC_RBF', 'CAT']	0.8354282932596186
347	['DT', 'ETC', 'SVC_RBF', 'LGBM']	0.8299062049062048
348	['DT', 'ETC', 'SVC_RBF', 'LGBM_RF']	0.8213991769547325
349	['DT', 'ETC', 'SVC_RBF', 'XGB']	0.8256820914073802
350	['DT', 'ETC', 'SVC_RBF', 'XGB_RF']	0.8111380506546308
351	['DT', 'ETC', 'SVC_RBF', 'LR']	0.8316278099410629
352	['DT', 'ETC', 'CAT', 'LGBM']	0.8470708229744375
353	['DT', 'ETC', 'CAT', 'LGBM_RF']	0.8309663046505152
354	['DT', 'ETC', 'CAT', 'XGB']	0.8346490724803978
355	['DT', 'ETC', 'CAT', 'XGB_RF']	0.8287024628488043
356	['DT', 'ETC', 'CAT', 'LR']	0.8583954867087398
357	['DT', 'ETC', 'LGBM', 'LGBM_RF']	0.8567151870491813
358	['DT', 'ETC', 'LGBM', 'XGB']	0.8301823616415316
359	['DT', 'ETC', 'LGBM', 'XGB_RF']	0.8392930697147566
360	['DT', 'ETC', 'LGBM', 'LR']	0.8612525685696418
361	['DT', 'ETC', 'LGBM_RF', 'XGB']	0.8265175132954337
362	['DT', 'ETC', 'LGBM_RF', 'XGB_RF']	0.8400513478819
363	['DT', 'ETC', 'LGBM_RF', 'LR']	0.8479245311452187
364	['DT', 'ETC', 'XGB', 'XGB_RF']	0.8268864933417882
365	['DT', 'ETC', 'XGB', 'LR']	0.856368563685637
366	['DT', 'ETC', 'XGB_RF', 'LR']	0.8388888888888889
367	['DT', 'KNN', 'SVC_LIN', 'SVC_RBF']	0.8287157287157286
368	['DT', 'KNN', 'SVC_LIN', 'CAT']	0.83757452958307
369	['DT', 'KNN', 'SVC_LIN', 'LGBM']	0.8245656619150594
370	['DT', 'KNN', 'SVC_LIN', 'LGBM_RF']	0.8391849844424369
371	['DT', 'KNN', 'SVC_LIN', 'XGB']	0.8394566224143255
372	['DT', 'KNN', 'SVC_LIN', 'XGB_RF']	0.8305555555555554
373	['DT', 'KNN', 'SVC_LIN', 'LR']	0.8254317209206534
374	['DT', 'KNN', 'SVC_RBF', 'CAT']	0.8274814616278032
375	['DT', 'KNN', 'SVC_RBF', 'LGBM']	0.8135645144681289
376	['DT', 'KNN', 'SVC_RBF', 'LGBM_RF']	0.7986030641171116
377	['DT', 'KNN', 'SVC_RBF', 'XGB']	0.8348395392064561
378	['DT', 'KNN', 'SVC_RBF', 'XGB_RF']	0.8082958895967026
379	['DT', 'KNN', 'SVC_RBF', 'LR']	0.8242215615709592
380	['DT', 'KNN', 'CAT', 'LGBM']	0.8407300086421636
381	['DT', 'KNN', 'CAT', 'LGBM_RF']	0.8362241804513516
382	['DT', 'KNN', 'CAT', 'XGB']	0.8442563089654079
383	['DT', 'KNN', 'CAT', 'XGB_RF']	0.833068701392258
384	['DT', 'KNN', 'CAT', 'LR']	0.8407300086421635
385	['DT', 'KNN', 'LGBM', 'LGBM_RF']	0.8326978801281074
386	['DT', 'KNN', 'LGBM', 'XGB']	0.8251888315882691
387	['DT', 'KNN', 'LGBM', 'XGB_RF']	0.8326978801281074
388	['DT', 'KNN', 'LGBM', 'LR']	0.8325021698515674
389	['DT', 'KNN', 'LGBM_RF', 'XGB']	0.8235749687294263
390	['DT', 'KNN', 'LGBM_RF', 'XGB_RF']	0.8200939560711985
391	['DT', 'KNN', 'LGBM_RF', 'LR']	0.836682070859286
392	['DT', 'KNN', 'XGB', 'XGB_RF']	0.839044253275016
393	['DT', 'KNN', 'XGB', 'LR']	0.8442563089654079
394	['DT', 'KNN', 'XGB_RF', 'LR']	0.8371920472728768
395	['DT', 'SVC_LIN', 'SVC_RBF', 'CAT']	0.8249012425483014
396	['DT', 'SVC_LIN', 'SVC_RBF', 'LGBM']	0.8484848484848486
397	['DT', 'SVC_LIN', 'SVC_RBF', 'LGBM_RF']	0.831890331890332
398	['DT', 'SVC_LIN', 'SVC_RBF', 'XGB']	0.8400968273399174
399	['DT', 'SVC_LIN', 'SVC_RBF', 'XGB_RF']	0.8397058823529412
400	['DT', 'SVC_LIN', 'SVC_RBF', 'LR']	0.8272588792164889
401	['DT', 'SVC_LIN', 'CAT', 'LGBM']	0.8620061923401865
402	['DT', 'SVC_LIN', 'CAT', 'LGBM_RF']	0.8551587301587301
403	['DT', 'SVC_LIN', 'CAT', 'XGB']	0.8489557226399332
404	['DT', 'SVC_LIN', 'CAT', 'XGB_RF']	0.8484766746204655
405	['DT', 'SVC_LIN', 'CAT', 'LR']	0.8499808758844903
406	['DT', 'SVC_LIN', 'LGBM', 'LGBM_RF']	0.8564715396922272
407	['DT', 'SVC_LIN', 'LGBM', 'XGB']	0.8397944498444057
408	['DT', 'SVC_LIN', 'LGBM', 'XGB_RF']	0.8523618282654427
409	['DT', 'SVC_LIN', 'LGBM', 'LR']	0.8535673737747856
410	['DT', 'SVC_LIN', 'LGBM_RF', 'XGB']	0.8492063492063492
411	['DT', 'SVC_LIN', 'LGBM_RF', 'XGB_RF']	0.8588073814244318
412	['DT', 'SVC_LIN', 'LGBM_RF', 'LR']	0.8407300086421635
413	['DT', 'SVC_LIN', 'XGB', 'XGB_RF']	0.846125116713352
414	['DT', 'SVC_LIN', 'XGB', 'LR']	0.8521303258145364
415	['DT', 'SVC_LIN', 'XGB_RF', 'LR']	0.8419730761502913
416	['DT', 'SVC_RBF', 'CAT', 'LGBM']	0.8468963573592617
417	['DT', 'SVC_RBF', 'CAT', 'LGBM_RF']	0.8265175132954337
418	['DT', 'SVC_RBF', 'CAT', 'XGB']	0.8388589730053143
419	['DT', 'SVC_RBF', 'CAT', 'XGB_RF']	0.8245656619150594
420	['DT', 'SVC_RBF', 'CAT', 'LR']	0.8328377504848093
421	['DT', 'SVC_RBF', 'LGBM', 'LGBM_RF']	0.8296729923545273
422	['DT', 'SVC_RBF', 'LGBM', 'XGB']	0.8247567949464968
423	['DT', 'SVC_RBF', 'LGBM', 'XGB_RF']	0.8395804737268152
